0-7=7|8-1=7
31+86=122|37+85=122
31+88=117|37+80=117
31+89=122|37+85=122
31+9=42|37+5=42
31+96=132|37+95=132
31+98=127|37+90=127
31+98=133|37+96=133
31+99=132|37+95=132
33-16=24|39-15=24
33-17=28|39-11=28
33-18=20|39-19=20
33-18=23|39-16=23
33-18=29|39-10=29
33-19=24|39-15=24
33-19=26|39-13=26
33-26=14|39-25=14
33-27=18|39-21=18
33-28=10|39-29=10
33-28=13|39-26=13
33-28=19|39-20=19
33-29=14|39-25=14
33-29=16|39-23=16
33-36=4|39-35=4
33-37=8|39-31=8
33-38=3|39-36=3
33-38=9|39-30=9
33-39=6|39-33=6
33-6=34|39-5=34
33-7=38|39-1=38
33-8=30|39-9=30
33+16=54|39+15=54
33+18=49|39+10=49
33+18=55|39+16=55
33+18=58|39+19=58
33+26=64|39+25=64
33+28=59|39+20=59
33+28=68|39+29=68
33+36=74|39+35=74
33+38=69|39+30=69
33+38=75|39+36=75
33+38=78|39+39=78
33+46=84|39+45=84
33+48=79|39+40=79
33+48=85|39+46=85
33+48=88|39+49=88
33+56=94|39+55=94
33+58=89|39+50=89
33+58=95|39+56=95
33+58=98|39+59=98
33+6=44|39+5=44
33+66=104|39+65=104
33+68=105|39+66=105
33+68=108|39+69=108
33+68=99|39+60=99
33+76=114|39+75=114
33+78=109|39+70=109
33+78=115|39+76=115
33+78=118|39+79=118
33+8=45|39+6=45
33+8=48|39+9=48
33+86=124|39+85=124
33+88=119|39+80=119
33+88=125|39+86=125
33+88=128|39+89=128
33+96=134|39+95=134
33+98=129|39+90=129
33+98=135|39+96=135
33+98=138|39+99=138
35-16=21|36-15=21
35-16=24|39-15=24
35-17=25|36-11=25
35-17=28|39-11=28
35-18=23|39-16=23
35-18=26|36-10=26
35-18=29|39-10=29
35-19=21|36-15=21
35-19=23|36-13=23
35-19=24|39-15=24
35-19=26|39-13=26
35-26=11|36-25=11
35-26=14|39-25=14
35-27=15|36-21=15
35-27=18|39-21=18
35-28=13|39-26=13
35-28=16|36-20=16
35-28=19|39-20=19
35-29=11|36-25=11
35-29=13|36-23=13
35-29=14|39-25=14
35-29=16|39-23=16
35-36=1|36-35=1
35-36=4|39-35=4
35-37=5|36-31=5
35-38=3|39-36=3
35-38=6|36-30=6
35-38=9|39-30=9
35-39=1|36-35=1
35-39=3|36-33=3
35-39=4|39-35=4
35-6=31|36-5=31
35-6=34|39-5=34
35-7=35|36-1=35
35-8=33|39-6=33
35-9=31|36-5=31
35-9=33|36-3=33
35-9=34|39-5=34
35+17=47|36+11=47
35+18=46|36+10=46
35+18=49|39+10=49
35+18=58|39+19=58
35+27=57|36+21=57
35+28=56|36+20=56
35+28=68|39+29=68
35+37=67|36+31=67
35+38=66|36+30=66
35+38=69|39+30=69
35+38=78|39+39=78
35+47=77|36+41=77
35+48=76|36+40=76
35+48=79|39+40=79
35+48=88|39+49=88
35+57=87|36+51=87
35+58=86|36+50=86
35+58=89|39+50=89
35+58=98|39+59=98
35+67=97|36+61=97
35+68=108|39+69=108
35+68=96|36+60=96
35+68=99|39+60=99
35+7=37|36+1=37
35+77=107|36+71=107
35+78=106|36+70=106
35+78=109|39+70=109
35+78=118|39+79=118
35+8=48|39+9=48
35+87=117|36+81=117
35+88=116|36+80=116
35+88=119|39+80=119
35+88=128|39+89=128
35+97=127|36+91=127
35+98=126|36+90=126
35+98=138|39+99=138
36-13=16|35-19=16
36-15=16|35-19=16
36-15=19|35-16=19
36-18=19|38-19=19
36-18=22|38-16=22
36-19=23|38-15=23
36-19=25|38-13=25
36-23=6|35-29=6
36-25=6|35-29=6
36-25=9|35-26=9
36-28=12|38-26=12
36-28=9|38-29=9
36-29=13|38-25=13
36-29=15|38-23=15
36-3=26|35-9=26
36-38=2|38-36=2
36-39=3|38-35=3
36-39=5|38-33=5
36-5=26|35-9=26
36-5=29|35-6=29
36-8=29|38-9=29
36-8=32|38-6=32
36-9=33|38-5=33
36-9=35|38-3=35
36+0=43|35+8=43
36+1=42|35+7=42
36+10=53|35+18=53
36+11=52|35+17=52
36+13=54|35+19=54
36+17=49|38+11=49
36+19=51|38+13=51
36+20=63|35+28=63
36+21=62|35+27=62
36+23=64|35+29=64
36+29=61|38+23=61
36+3=44|35+9=44
36+30=73|35+38=73
36+31=72|35+37=72
36+33=74|35+39=74
36+37=69|38+31=69
36+39=71|38+33=71
36+40=83|35+48=83
36+41=82|35+47=82
36+43=84|35+49=84
36+47=79|38+41=79
36+49=81|38+43=81
36+50=93|35+58=93
36+51=92|35+57=92
36+53=94|35+59=94
36+57=89|38+51=89
36+59=91|38+53=91
36+60=103|35+68=103
36+61=102|35+67=102
36+63=104|35+69=104
36+67=99|38+61=99
36+69=101|38+63=101
36+7=39|38+1=39
36+70=113|35+78=113
36+71=112|35+77=112
36+73=114|35+79=114
36+77=109|38+71=109
36+79=111|38+73=111
36+80=123|35+88=123
36+81=122|35+87=122
36+83=124|35+89=124
36+87=119|38+81=119
36+89=121|38+83=121
36+9=41|38+3=41
36+90=133|35+98=133
36+91=132|35+97=132
36+93=134|35+99=134
36+99=131|38+93=131
37-0=23|31-8=23
37-1=24|31-7=24
37-10=13|31-18=13
37-11=14|31-17=14
37-13=12|31-19=12
37-16=13|31-18=13
37-19=13|31-18=13
37-20=3|31-28=3
37-21=4|31-27=4
37-23=2|31-29=2
37-26=3|31-28=3
37-29=3|31-28=3
37-3=22|31-9=22
37-6=23|31-8=23
37-9=23|31-8=23
37+0=39|31+8=39
37+10=49|31+18=49
37+15=47|31+16=47
37+16=49|31+18=49
37+19=49|31+18=49
37+20=59|31+28=59
37+25=57|31+26=57
37+29=59|31+28=59
37+30=69|31+38=69
37+35=67|31+36=67
37+36=69|31+38=69
37+39=69|31+38=69
37+40=79|31+48=79
37+45=77|31+46=77
37+46=79|31+48=79
37+49=79|31+48=79
37+5=37|31+6=37
37+50=89|31+58=89
37+55=87|31+56=87
37+56=89|31+58=89
37+59=89|31+58=89
37+6=39|31+8=39
37+60=99|31+68=99
37+65=97|31+66=97
37+66=99|31+68=99
37+69=99|31+68=99
37+70=109|31+78=109
37+75=107|31+76=107
37+76=109|31+78=109
37+79=109|31+78=109
37+80=119|31+88=119
37+85=117|31+86=117
37+86=119|31+88=119
37+89=119|31+88=119
37+9=39|31+8=39
37+90=129|31+98=129
37+95=127|31+96=127
37+99=129|31+98=129
38-0=22|30-8=22
38-0=31|39-8=31
38-1=29|36-7=29
38-1=32|39-7=32
38-10=12|30-18=12
38-10=21|39-18=21
38-11=19|36-17=19
38-11=22|39-17=22
38-13=17|36-19=17
38-13=20|39-19=20
38-15=11|30-19=11
38-15=14|30-16=14
38-15=17|36-19=17
38-16=18|36-18=18
38-16=21|39-18=21
38-19=12|30-18=12
38-19=18|36-18=18
38-19=21|39-18=21
38-20=11|39-28=11
38-20=2|30-28=2
38-21=12|39-27=12
38-21=9|36-27=9
38-23=10|39-29=10
38-23=7|36-29=7
38-25=1|30-29=1
38-25=4|30-26=4
38-25=7|36-29=7
38-26=11|39-28=11
38-26=8|36-28=8
38-29=11|39-28=11
38-29=2|30-28=2
38-29=8|36-28=8
38-3=27|36-9=27
38-3=30|39-9=30
38-30=1|39-38=1
38-31=2|39-37=2
38-36=1|39-38=1
38-39=1|39-38=1
38-5=21|30-9=21
38-5=24|30-6=24
38-5=27|36-9=27
38-6=28|36-8=28
38-6=31|39-8=31
38-9=22|30-8=22
38-9=28|36-8=28
38-9=31|39-8=31
38+1=37|30+7=37
38+1=43|36+7=43
38+11=47|30+17=47
38+11=53|36+17=53
38+13=49|30+19=49
38+13=55|36+19=55
38+13=58|39+19=58
38+15=46|30+16=46
38+15=49|30+19=49
38+15=58|39+19=58
38+21=57|30+27=57
38+23=59|30+29=59
38+23=65|36+29=65
38+23=68|39+29=68
38+25=56|30+26=56
38+25=68|39+29=68
38+3=39|30+9=39
38+3=45|36+9=45
38+3=48|39+9=48
38+31=73|36+37=73
38+33=69|30+39=69
38+33=75|36+39=75
38+33=78|39+39=78
38+35=66|30+36=66
38+35=69|30+39=69
38+35=78|39+39=78
38+41=77|30+47=77
38+41=83|36+47=83
38+43=79|30+49=79
38+43=85|36+49=85
38+43=88|39+49=88
38+45=76|30+46=76
38+45=79|30+49=79
38+45=88|39+49=88
38+5=36|30+6=36
38+5=39|30+9=39
38+5=48|39+9=48
38+51=87|30+57=87
38+51=93|36+57=93
38+53=89|30+59=89
38+53=95|36+59=95
38+53=98|39+59=98
38+55=86|30+56=86
38+55=89|30+59=89
38+55=98|39+59=98
38+61=103|36+67=103
38+61=97|30+67=97
38+63=105|36+69=105
38+63=108|39+69=108
38+63=99|30+69=99
38+65=108|39+69=108
38+65=96|30+66=96
38+65=99|30+69=99
38+71=107|30+77=107
38+71=113|36+77=113
38+73=109|30+79=109
38+73=115|36+79=115
38+73=118|39+79=118
38+75=106|30+76=106
38+75=109|30+79=109
38+75=118|39+79=118
38+81=117|30+87=117
38+83=119|30+89=119
38+83=125|36+89=125
38+83=128|39+89=128
38+85=116|30+86=116
38+85=119|30+89=119
38+85=128|39+89=128
38+91=127|30+97=127
38+91=133|36+97=133
38+93=129|30+99=129
38+93=135|36+99=135
38+93=138|39+99=138
38+95=126|30+96=126
38+95=138|39+99=138
39-0=25|33-8=25
39-0=27|35-8=27
39-1=26|33-7=26
39-10=15|33-18=15
39-10=17|35-18=17
39-11=16|33-17=16
39-13=14|33-19=14
39-15=17|33-16=17
39-16=17|35-18=17
39-18=19|38-19=19
39-18=22|38-16=22
39-20=5|33-28=5
39-20=7|35-28=7
39-21=6|33-27=6
39-23=4|33-29=4
39-25=7|33-26=7
39-26=7|35-28=7
39-28=12|38-26=12
39-28=9|38-29=9
39-3=24|33-9=24
39-38=2|38-36=2
39-5=27|33-6=27
39-6=27|35-8=27
39-8=29|38-9=29
39-8=32|38-6=32
39+0=41|33+8=41
39+0=43|35+8=43
39+1=42|35+7=42
39+10=51|33+18=51
39+10=53|35+18=53
39+11=52|35+17=52
39+16=51|33+18=51
39+17=49|38+11=49
39+20=61|33+28=61
39+21=62|35+27=62
39+26=61|33+28=61
39+27=59|38+21=59
39+30=71|33+38=71
39+30=73|35+38=73
39+31=72|35+37=72
39+36=71|33+38=71
39+37=69|38+31=69
39+40=81|33+48=81
39+40=83|35+48=83
39+41=82|35+47=82
39+46=81|33+48=81
39+47=79|38+41=79
39+50=91|33+58=91
39+51=92|35+57=92
39+56=91|33+58=91
39+57=89|38+51=89
39+6=41|33+8=41
39+60=101|33+68=101
39+60=103|35+68=103
39+61=102|35+67=102
39+66=101|33+68=101
39+67=99|38+61=99
39+7=39|38+1=39
39+70=111|33+78=111
39+70=113|35+78=113
39+71=112|35+77=112
39+76=111|33+78=111
39+77=109|38+71=109
39+80=121|33+88=121
39+81=122|35+87=122
39+86=121|33+88=121
39+87=119|38+81=119
39+90=131|33+98=131
39+90=133|35+98=133
39+91=132|35+97=132
39+96=131|33+98=131
39+97=129|38+91=129
40-18=29|48-19=29
40-19=33|48-15=33
40-19=35|48-13=35
40-28=19|48-29=19
40-28=22|48-26=22
40-29=23|48-25=23
40-29=25|48-23=25
40-38=9|48-39=9
40-39=13|48-35=13
40-39=15|48-33=15
40-48=2|48-46=2
40-49=3|48-45=3
40-49=5|48-43=5
40-8=39|48-9=39
40-8=42|48-6=42
40+16=63|48+15=63
40+17=59|48+11=59
40+19=61|48+13=61
40+26=73|48+25=73
40+27=69|48+21=69
40+29=71|48+23=71
40+29=73|48+25=73
40+36=83|48+35=83
40+37=79|48+31=79
40+39=81|48+33=81
40+39=83|48+35=83
40+46=93|48+45=93
40+47=89|48+41=89
40+49=91|48+43=91
40+56=103|48+55=103
40+57=99|48+51=99
40+59=101|48+53=101
40+6=53|48+5=53
40+66=113|48+65=113
40+67=109|48+61=109
40+69=111|48+63=111
40+69=113|48+65=113
40+7=49|48+1=49
40+76=123|48+75=123
40+77=119|48+71=119
40+79=121|48+73=121
40+79=123|48+75=123
40+86=133|48+85=133
40+87=129|48+81=129
40+89=131|48+83=131
40+9=51|48+3=51
40+9=53|48+5=53
40+96=143|48+95=143
40+97=139|48+91=139
40+99=141|48+93=141
40+99=143|48+95=143
41-16=32|47-15=32
41-17=36|47-11=36
41-18=31|47-16=31
41-18=37|47-10=37
41-19=34|47-13=34
41-26=22|47-25=22
41-27=26|47-21=26
41-28=21|47-26=21
41-28=27|47-20=27
41-29=22|47-25=22
41-29=24|47-23=24
41-36=12|47-35=12
41-37=16|47-31=16
41-38=11|47-36=11
41-38=17|47-30=17
41-39=14|47-33=14
41-46=2|47-45=2
41-47=6|47-41=6
41-48=1|47-46=1
41-48=7|47-40=7
41-49=2|47-45=2
41-49=4|47-43=4
41-6=42|47-5=42
41-7=46|47-1=46
41-9=42|47-5=42
41+16=62|47+15=62
41+18=57|47+10=57
41+19=62|47+15=62
41+26=72|47+25=72
41+28=67|47+20=67
41+28=73|47+26=73
41+29=72|47+25=72
41+36=82|47+35=82
41+38=77|47+30=77
41+38=83|47+36=83
41+39=82|47+35=82
41+46=92|47+45=92
41+48=87|47+40=87
41+48=93|47+46=93
41+49=92|47+45=92
41+56=102|47+55=102
41+58=103|47+56=103
41+58=97|47+50=97
41+59=102|47+55=102
41+6=52|47+5=52
41+66=112|47+65=112
41+68=107|47+60=107
41+68=113|47+66=113
41+69=112|47+65=112
41+76=122|47+75=122
41+78=117|47+70=117
41+78=123|47+76=123
41+79=122|47+75=122
41+8=53|47+6=53
41+86=132|47+85=132
41+88=127|47+80=127
41+89=132|47+85=132
41+9=52|47+5=52
41+96=142|47+95=142
41+98=137|47+90=137
41+98=143|47+96=143
41+99=142|47+95=142
43-16=34|49-15=34
43-17=38|49-11=38
43-18=30|49-19=30
43-18=33|49-16=33
43-18=39|49-10=39
43-19=36|49-13=36
43-26=24|49-25=24
43-27=28|49-21=28
43-28=20|49-29=20
43-28=23|49-26=23
43-28=29|49-20=29
43-29=24|49-25=24
43-29=26|49-23=26
43-36=14|49-35=14
43-37=18|49-31=18
43-38=10|49-39=10
43-38=13|49-36=13
43-38=19|49-30=19
43-39=16|49-33=16
43-46=4|49-45=4
43-47=8|49-41=8
43-48=3|49-46=3
43-48=9|49-40=9
43-49=4|49-45=4
43-49=6|49-43=6
43-6=44|49-5=44
43-7=48|49-1=48
43-8=40|49-9=40
43-9=44|49-5=44
43+16=64|49+15=64
43+18=59|49+10=59
43+18=65|49+16=65
43+18=68|49+19=68
43+26=74|49+25=74
43+28=69|49+20=69
43+28=75|49+26=75
43+28=78|49+29=78
43+36=84|49+35=84
43+38=79|49+30=79
43+38=85|49+36=85
43+38=88|49+39=88
43+46=94|49+45=94
43+48=89|49+40=89
43+48=95|49+46=95
43+48=98|49+49=98
43+56=104|49+55=104
43+58=105|49+56=105
43+58=108|49+59=108
43+58=99|49+50=99
43+6=54|49+5=54
43+66=114|49+65=114
43+68=109|49+60=109
43+68=115|49+66=115
43+68=118|49+69=118
43+76=124|49+75=124
43+78=119|49+70=119
43+78=125|49+76=125
43+78=128|49+79=128
43+8=55|49+6=55
43+8=58|49+9=58
43+86=134|49+85=134
43+88=129|49+80=129
43+88=135|49+86=135
43+88=138|49+89=138
43+96=144|49+95=144
43+98=139|49+90=139
43+98=145|49+96=145
43+98=148|49+99=148
45-16=31|46-15=31
45-16=34|49-15=34
45-17=35|46-11=35
45-18=33|49-16=33
45-18=36|46-10=36
45-18=39|49-10=39
45-19=31|46-15=31
45-19=33|46-13=33
45-19=34|49-15=34
45-26=21|46-25=21
45-26=24|49-25=24
45-27=25|46-21=25
45-27=28|49-21=28
45-28=23|49-26=23
45-28=26|46-20=26
45-28=29|49-20=29
45-29=21|46-25=21
45-29=23|46-23=23
45-29=24|49-25=24
45-29=26|49-23=26
45-36=11|46-35=11
45-36=14|49-35=14
45-37=15|46-31=15
45-38=13|49-36=13
45-38=16|46-30=16
45-38=19|49-30=19
45-39=11|46-35=11
45-39=13|46-33=13
45-39=14|49-35=14
45-46=1|46-45=1
45-46=4|49-45=4
45-47=5|46-41=5
45-47=8|49-41=8
45-48=3|49-46=3
45-48=6|46-40=6
45-48=9|49-40=9
45-49=1|46-45=1
45-49=3|46-43=3
45-49=4|49-45=4
45-49=6|49-43=6
45-6=41|46-5=41
45-6=44|49-5=44
45-7=45|46-1=45
45-7=48|49-1=48
45-8=43|49-6=43
45-9=41|46-5=41
45-9=43|46-3=43
45-9=44|49-5=44
45-9=46|49-3=46
45+17=57|46+11=57
45+18=56|46+10=56
45+18=68|49+19=68
45+27=67|46+21=67
45+28=66|46+20=66
45+28=69|49+20=69
45+28=78|49+29=78
45+37=77|46+31=77
45+38=76|46+30=76
45+38=79|49+30=79
45+38=88|49+39=88
45+47=87|46+41=87
45+48=86|46+40=86
45+48=89|49+40=89
45+48=98|49+49=98
45+57=97|46+51=97
45+58=108|49+59=108
45+58=96|46+50=96
45+58=99|49+50=99
45+67=107|46+61=107
45+68=106|46+60=106
45+68=109|49+60=109
45+68=118|49+69=118
45+7=47|46+1=47
45+77=117|46+71=117
45+78=116|46+70=116
45+78=119|49+70=119
45+78=128|49+79=128
45+8=58|49+9=58
45+87=127|46+81=127
45+88=126|46+80=126
45+88=129|49+80=129
45+88=138|49+89=138
45+97=137|46+91=137
45+98=136|46+90=136
45+98=148|49+99=148
46-13=26|45-19=26
46-15=26|45-19=26
46-15=29|45-16=29
46-18=29|48-19=29
46-18=32|48-16=32
46-19=33|48-15=33
46-19=35|48-13=35
46-23=16|45-29=16
46-25=16|45-29=16
46-25=19|45-26=19
46-28=19|48-29=19
46-28=22|48-26=22
46-29=23|48-25=23
46-29=25|48-23=25
46-3=36|45-9=36
46-33=6|45-39=6
46-35=6|45-39=6
46-35=9|45-36=9
46-38=12|48-36=12
46-38=9|48-39=9
46-39=13|48-35=13
46-39=15|48-33=15
46-48=2|48-46=2
46-49=3|48-45=3
46-49=5|48-43=5
46-5=36|45-9=36
46-5=39|45-6=39
46-8=39|48-9=39
46-8=42|48-6=42
46-9=43|48-5=43
46-9=45|48-3=45
46+0=53|45+8=53
46+1=52|45+7=52
46+10=63|45+18=63
46+11=62|45+17=62
46+13=64|45+19=64
46+19=61|48+13=61
46+20=73|45+28=73
46+21=72|45+27=72
46+23=74|45+29=74
46+27=69|48+21=69
46+29=71|48+23=71
46+3=54|45+9=54
46+30=83|45+38=83
46+31=82|45+37=82
46+33=84|45+39=84
46+37=79|48+31=79
46+39=81|48+33=81
46+40=93|45+48=93
46+41=92|45+47=92
46+43=94|45+49=94
46+47=89|48+41=89
46+49=91|48+43=91
46+50=103|45+58=103
46+51=102|45+57=102
46+53=104|45+59=104
46+57=99|48+51=99
46+59=101|48+53=101
46+60=113|45+68=113
46+61=112|45+67=112
46+63=114|45+69=114
46+67=109|48+61=109
46+69=111|48+63=111
46+7=49|48+1=49
46+70=123|45+78=123
46+71=122|45+77=122
46+73=124|45+79=124
46+77=119|48+71=119
46+79=121|48+73=121
46+80=133|45+88=133
46+81=132|45+87=132
46+83=134|45+89=134
46+87=129|48+81=129
46+89=131|48+83=131
46+9=51|48+3=51
46+90=143|45+98=143
46+91=142|45+97=142
46+93=144|45+99=144
46+99=141|48+93=141
47-0=33|41-8=33
47-1=34|41-7=34
47-10=23|41-18=23
47-11=24|41-17=24
47-13=22|41-19=22
47-16=23|41-18=23
47-19=23|41-18=23
47-20=13|41-28=13
47-21=14|41-27=14
47-23=12|41-29=12
47-26=13|41-28=13
47-29=13|41-28=13
47-3=32|41-9=32
47-30=3|41-38=3
47-31=4|41-37=4
47-33=2|41-39=2
47-35=2|41-39=2
47-36=3|41-38=3
47-39=3|41-38=3
47-5=32|41-9=32
47-6=33|41-8=33
47-9=33|41-8=33
47+0=49|41+8=49
47+10=59|41+18=59
47+15=57|41+16=57
47+19=59|41+18=59
47+20=69|41+28=69
47+25=67|41+26=67
47+26=69|41+28=69
47+29=69|41+28=69
47+30=79|41+38=79
47+35=77|41+36=77
47+36=79|41+38=79
47+39=79|41+38=79
47+40=89|41+48=89
47+45=87|41+46=87
47+46=89|41+48=89
47+49=89|41+48=89
47+5=47|41+6=47
47+50=99|41+58=99
47+55=97|41+56=97
47+56=99|41+58=99
47+59=99|41+58=99
47+6=49|41+8=49
47+60=109|41+68=109
47+65=107|41+66=107
47+66=109|41+68=109
47+69=109|41+68=109
47+70=119|41+78=119
47+75=117|41+76=117
47+76=119|41+78=119
47+79=119|41+78=119
47+80=129|41+88=129
47+85=127|41+86=127
47+86=129|41+88=129
47+89=129|41+88=129
47+9=49|41+8=49
47+90=139|41+98=139
47+95=137|41+96=137
47+99=139|41+98=139
48-0=32|40-8=32
48-0=38|46-8=38
48-0=41|49-8=41
48-1=39|46-7=39
48-1=42|49-7=42
48-10=22|40-18=22
48-10=31|49-18=31
48-11=29|46-17=29
48-11=32|49-17=32
48-13=27|46-19=27
48-13=30|49-19=30
48-15=21|40-19=21
48-15=24|40-16=24
48-15=27|46-19=27
48-16=28|46-18=28
48-16=31|49-18=31
48-19=22|40-18=22
48-19=28|46-18=28
48-19=31|49-18=31
48-20=12|40-28=12
48-20=21|49-28=21
48-21=19|46-27=19
48-21=22|49-27=22
48-23=17|46-29=17
48-23=20|49-29=20
48-25=11|40-29=11
48-25=14|40-26=14
48-25=17|46-29=17
48-26=18|46-28=18
48-26=21|49-28=21
48-29=12|40-28=12
48-29=18|46-28=18
48-29=21|49-28=21
48-3=37|46-9=37
48-3=40|49-9=40
48-30=11|49-38=11
48-30=2|40-38=2
48-30=8|46-38=8
48-31=12|49-37=12
48-31=9|46-37=9
48-33=10|49-39=10
48-33=7|46-39=7
48-35=1|40-39=1
48-35=4|40-36=4
48-35=7|46-39=7
48-36=11|49-38=11
48-36=2|40-38=2
48-36=8|46-38=8
48-39=11|49-38=11
48-39=2|40-38=2
48-39=8|46-38=8
48-40=1|49-48=1
48-41=2|49-47=2
48-46=1|49-48=1
48-49=1|49-48=1
48-5=31|40-9=31
48-5=34|40-6=34
48-5=37|46-9=37
48-6=32|40-8=32
48-6=38|46-8=38
48-6=41|49-8=41
48-9=32|40-8=32
48-9=38|46-8=38
48-9=41|49-8=41
48+1=47|40+7=47
48+1=53|46+7=53
48+11=57|40+17=57
48+13=59|40+19=59
48+13=65|46+19=65
48+13=68|49+19=68
48+15=56|40+16=56
48+15=68|49+19=68
48+21=67|40+27=67
48+21=73|46+27=73
48+23=69|40+29=69
48+23=75|46+29=75
48+23=78|49+29=78
48+25=66|40+26=66
48+25=69|40+29=69
48+25=78|49+29=78
48+3=49|40+9=49
48+3=55|46+9=55
48+3=58|49+9=58
48+31=77|40+37=77
48+31=83|46+37=83
48+33=79|40+39=79
48+33=85|46+39=85
48+33=88|49+39=88
48+35=76|40+36=76
48+35=79|40+39=79
48+35=88|49+39=88
48+41=87|40+47=87
48+41=93|46+47=93
48+43=89|40+49=89
48+43=95|46+49=95
48+43=98|49+49=98
48+45=86|40+46=86
48+45=89|40+49=89
48+45=98|49+49=98
48+5=46|40+6=46
48+5=49|40+9=49
48+5=58|49+9=58
48+51=103|46+57=103
48+51=97|40+57=97
48+53=105|46+59=105
48+53=108|49+59=108
48+53=99|40+59=99
48+55=108|49+59=108
48+55=96|40+56=96
48+55=99|40+59=99
48+61=107|40+67=107
48+61=113|46+67=113
48+63=109|40+69=109
48+63=115|46+69=115
48+63=118|49+69=118
48+65=106|40+66=106
48+65=109|40+69=109
48+65=118|49+69=118
48+71=117|40+77=117
48+71=123|46+77=123
48+73=119|40+79=119
48+73=125|46+79=125
48+73=128|49+79=128
48+75=116|40+76=116
48+75=119|40+79=119
48+75=128|49+79=128
48+81=127|40+87=127
48+83=129|40+89=129
48+83=135|46+89=135
48+83=138|49+89=138
48+85=126|40+86=126
48+85=129|40+89=129
48+85=138|49+89=138
48+91=137|40+97=137
48+91=143|46+97=143
48+93=139|40+99=139
48+93=145|46+99=145
48+93=148|49+99=148
48+95=136|40+96=136
48+95=148|49+99=148
49-0=35|43-8=35
49-0=37|45-8=37
49-1=36|43-7=36
49-1=38|45-7=38
49-10=25|43-18=25
49-10=27|45-18=27
49-11=26|43-17=26
49-13=24|43-19=24
49-15=27|43-16=27
49-16=27|45-18=27
49-18=29|48-19=29
49-18=32|48-16=32
49-20=15|43-28=15
49-20=17|45-28=17
49-21=16|43-27=16
49-23=14|43-29=14
49-25=17|43-26=17
49-26=17|45-28=17
49-28=19|48-29=19
49-28=22|48-26=22
49-3=34|43-9=34
49-3=36|45-9=36
49-30=5|43-38=5
49-30=7|45-38=7
49-31=6|43-37=6
49-31=8|45-37=8
49-33=4|43-39=4
49-33=6|45-39=6
49-35=4|43-39=4
49-35=7|43-36=7
49-36=7|45-38=7
49-38=12|48-36=12
49-38=9|48-39=9
49-48=2|48-46=2
49-5=34|43-9=34
49-5=37|43-6=37
49-6=37|45-8=37
49-8=39|48-9=39
49-8=42|48-6=42
49+0=51|43+8=51
49+0=53|45+8=53
49+1=52|45+7=52
49+10=61|43+18=61
49+11=62|45+17=62
49+16=61|43+18=61
49+17=59|48+11=59
49+20=71|43+28=71
49+20=73|45+28=73
49+21=72|45+27=72
49+26=71|43+28=71
49+27=69|48+21=69
49+30=81|43+38=81
49+30=83|45+38=83
49+31=82|45+37=82
49+36=81|43+38=81
49+37=79|48+31=79
49+40=91|43+48=91
49+41=92|45+47=92
49+46=91|43+48=91
49+47=89|48+41=89
49+50=101|43+58=101
49+51=102|45+57=102
49+56=101|43+58=101
49+57=99|48+51=99
49+6=51|43+8=51
49+60=111|43+68=111
49+60=113|45+68=113
49+61=112|45+67=112
49+66=111|43+68=111
49+67=109|48+61=109
49+7=49|48+1=49
49+70=121|43+78=121
49+70=123|45+78=123
49+71=122|45+77=122
49+76=121|43+78=121
49+77=119|48+71=119
49+80=131|43+88=131
49+81=132|45+87=132
49+86=131|43+88=131
49+87=129|48+81=129
49+90=141|43+98=141
49+90=143|45+98=143
49+91=142|45+97=142
49+96=141|43+98=141
49+97=139|48+91=139
5-6=1|6-5=1
5-6=4|9-5=4
5-7=5|6-1=5
5-7=8|9-1=8
5-8=3|9-6=3
5-9=1|6-5=1
5-9=3|6-3=3
5-9=4|9-5=4
5-9=6|9-3=6
5+17=17|6+11=17
5+18=16|6+10=16
5+18=19|9+10=19
5+18=28|9+19=28
5+27=27|6+21=27
5+28=26|6+20=26
5+28=29|9+20=29
5+28=38|9+29=38
5+37=37|6+31=37
5+38=36|6+30=36
5+38=39|9+30=39
5+38=48|9+39=48
5+47=47|6+41=47
5+48=46|6+40=46
5+48=49|9+40=49
5+48=58|9+49=58
5+57=57|6+51=57
5+58=56|6+50=56
5+58=68|9+59=68
5+67=67|6+61=67
5+68=66|6+60=66
5+68=69|9+60=69
5+68=78|9+69=78
5+7=7|6+1=7
5+77=77|6+71=77
5+78=76|6+70=76
5+78=79|9+70=79
5+78=88|9+79=88
5+8=18|9+9=18
5+87=87|6+81=87
5+88=86|6+80=86
5+88=89|9+80=89
5+88=98|9+89=98
5+9=9|5+3=8
5+97=97|6+91=97
5+98=108|9+99=108
5+98=96|6+90=96
50-18=39|58-19=39
50-18=42|58-16=42
50-19=43|58-15=43
50-28=29|58-29=29
50-29=33|58-25=33
50-38=19|58-39=19
50-39=23|58-35=23
50-48=12|58-46=12
50-48=9|58-49=9
50-49=13|58-45=13
50-58=2|58-56=2
50-59=3|58-55=3
50-8=49|58-9=49
50-8=52|58-6=52
50+16=73|58+15=73
50+17=69|58+11=69
50+26=83|58+25=83
50+27=79|58+21=79
50+29=81|58+23=81
50+36=93|58+35=93
50+37=89|58+31=89
50+39=91|58+33=91
50+46=103|58+45=103
50+47=99|58+41=99
50+49=101|58+43=101
50+56=113|58+55=113
50+57=109|58+51=109
50+59=111|58+53=111
50+6=63|58+5=63
